epoch,avg_loss,elapsed_sec,worker0_loss,worker1_loss
1,0.693187,2.029,0.693286,0.693089
2,0.692634,4.049,0.692663,0.692606
3,0.692076,6.066,0.692046,0.692106
4,0.691521,8.08,0.691432,0.69161
5,0.690969,10.097,0.69082,0.691118
6,0.690418,12.115,0.690207,0.690628
7,0.689865,14.129,0.689592,0.690139
8,0.689309,16.137,0.68897,0.689648
9,0.688749,18.145,0.68834,0.689157
10,0.688186,20.153,0.687699,0.688673
11,0.687617,22.166,0.687046,0.688188
12,0.687039,24.185,0.68638,0.687698
13,0.68645,26.196,0.685699,0.687201
14,0.685848,28.213,0.684999,0.686696
15,0.685231,30.23,0.68428,0.686183
16,0.684596,32.242,0.683539,0.685653
17,0.68394,34.257,0.682773,0.685107
18,0.683264,36.275,0.68198,0.684548
19,0.682567,38.289,0.68116,0.683973
20,0.681846,40.301,0.68031,0.683382
